filmid,title,director,country,year,genre,type,category
1000,Histoire(s) du cinéma,Jean-Luc Godard,,,,,
4ce2b6b41d658,b'La R\xc3\xa8gle du jeu',,,b'1939',b'Drama',b'Film',b'Fiction'
4ce2b6b7568ee,b'Sunrise  A Song of Two Humans',,,b'1927',b'Drama',b'Film',b'Fiction'
4ce2b6bfd1ebb,b'\xc3\x80 bout de souffle',,,b'1960',b'Film noir',b'Film',b'Fiction'
4ce2b6ae66430,b'The Lady Eve',,,b'1941',,b'Film',b'Fiction'
4ce2b6fcb7c36,"b""Carlito's Way""",,,b'1993',b'Gangster',b'Film',b'Fiction'
4ce2b6a754af6,b'Once upon a Time in the West',,,b'1968',b'Western',b'Film',b'Fiction'
4ce2b6b8bc241,b'Touch of Evil',,,b'1958',b'Film noir',b'Film',b'Fiction'
4ce2b6ab42667,b'The Godfather Part II',,,b'1974',b'Gangster',b'Film',b'Fiction'
4ce2b6ab4237b,b'The Godfather',,,b'1972',b'Gangster',b'Film',b'Fiction'
4ce2b6c01bcfe,b'APUR SANSAR',,,b'1958',b'Drama',b'Film',b'Fiction'
