voterid,name,category,country,gender,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,comment
b'558',b'Gulnara Abikeyeva',b'programmer',b'Kazakhstan',b'Female',b'4ce2b7fd6185b',b'4ce2b7ee0f12e',b'4ce2b78f168f3',b'4ce2b81295544',b'4ce2b6bbbf1e2',b'4ce2b8331649f',b'4ce2b6b3ec3fe',b'4ce2b6b657a6a',b'4ce2b89a9ee7b',b'4ce2b6b6466ce',"b'For me, the art of Charlie Chaplin \xe2\x80\x93 though I\xe2\x80\x99ve chosen Modern Times, it could be any of his films \xe2\x80\x93 is the sign of the birth of cinema. We love films neither for the reproduction of real life nor for the entertainment, but for the appearance of the human being. \nRashomon shows us impossibility of understanding the world and the inability of discovering the truth \xe2\x80\x93 those are, at first sight, European existential values, but they were brought to cinema by its Eastern film director.\nEverything became possible in cinema because Wild Strawberries appeared. Again, I choose it not for the entertainment purposes, but as a reflection of fantasies and human imagination. \nLe Notti di Cabiria has absolute genuineness and an attachment to human soul. Neorealism, in my opinion, is the basis of cinema as art. \nLand of Fathers is one of the best Soviet films of the \xe2\x80\x98Thaw\xe2\x80\x99 period. It has not gained worldwide audience because distributing Kazakh films was prohibited during Soviet times. The dialogue of civilisations, an examination of archetypes, finding yourself and your roots \xe2\x80\x93 all of these are in the film. \n\xe2\x80\x9cHuman needs human\xe2\x80\x9d \xe2\x80\x93 this is Goethe\xe2\x80\x99s phrase as said by Snaut in Solaris, a film of psychologism, philosophy, aesthetic film language and direct emotions. \nGabbeh is a cinematographic anthem of love, nature and life. The story is set in \xe2\x80\x98heaven on earth\xe2\x80\x99; its director brought primordial beauty to love. \nBeshkempir: The Adopted Son displays the Central Asian mentality in contemporary film language. For me, this is the first film that revived my childhood feelings and emotions. \nThe Matrix is a bright image of Buddhist duality and an imaginary replica of the people of the western hemisphere; Spring, Summer, Fall, Winter and Spring\xe2\x80\xa6, meanwhile, also reflects Bhuddist philosophy in the bright visual images and in its portrayal of the path that a human being takes in overcoming himself.\nThis is the reflection of Bhuddist philosophy in the bright visual images and reflection of the path that human being is undertaking in overcoming himself.'"
b'1033',b'Lenny Abrahamson',b'Director',b'Ireland',b'Male',b'4ce2b6bc285f7',b'4ce2b8b181b6e',b'4ce2b6ad87c49',b'4ce2b8b17e6c2',b'4ce2b6ae11be2',b'4ce2b6a7da289',b'4ce2b7a386c30',b'4ce2b6bb90873',b'4ce2b6b10e49d',b'4ce2b6b94a861',"b""I found this a very tough exercise and there was much soul-searching. I could easily have put in another two each for Bresson and Tarkovsky, it felt like betrayal to leave out several of Kieslowski's and a couple of Fellini's (La Strada in particular which had a big effect on my development as a filmmaker), and there are some more recent films which perhaps would be on the list if I'd had more time to live with them.I'm glad to be able to include a title from Bill Douglas\xe2\x80\x99s autobiographical trilogy which I've discovered only in the last few years but which I keep going back to. Taken together, these three films are an immense aesthetic and moral achievement and deserve to be much better known."""
b'316',b'Mehmet A\xc3\xa7ar',b'critic',b'Turkey',b'Male',b'4ce2b6b9450a5',b'4ce2b6b7433c1',b'4ce2b7a7c7114',b'4ce2b69ac89d8',b'4ce2b6f695fc4',b'4ce2b6a76bf31',b'4ce2b6a91da80',b'4ce2b6a21d217',b'4ce2b6b0155c4',b'4ce2b8379038e',"b'I have chosen these ten films for purely aesthetic reasons. I believe they are very close to the definition of \xe2\x80\x98artistic perfection\xe2\x80\x99 \xe2\x80\x93 or my definition of it, at least. Some of them might not be historically important but I\xe2\x80\x99m sure most inspired numerous filmmakers in many ways. Besides, I think the directors of these ten films succeeded in using film grammar not only to tell a story but also as a way of understanding modern society and human psychology. I also have to mention that those directors achieved their general artistic goals flawlessly.'"
b'1090',b'Newton Aduaka',b'Director',b'Nigerla',b'Male',b'4ce2b6a54c395',b'4ce2b69562aa2',b'4ce2b736ee9c0',b'4ce2b6b03bb00',b'4ce2b6b2bba54',b'4ce2b885c2f81',b'4ce2b7972a879',b'4ce2b6a99de5f',b'4ce2b7cb624b7',b'4ce2b79d52351',"b'Though I might agree with most films listed in the eventual outcome of this exercise, I have tried to stray slightly away from received wisdom.I am not normally what one would call an orderly person, but I have tried to put the list in some sort of order \xe2\x80\x93 what sort, will be for you to suggest.The reasons for my choices are firstly emotional, as the most profound encounters I have had with cinema have been in that arena. This should not in any way be viewed as reductive, but as gateways.If I allowed myself one documentary it would be: Frederick Wiseman\xe2\x80\x99s Titicut Follies.'"
b'624',b'Eva af Geijerstam',b'critic',b'Sweden',b'Female',b'4ce2b6a439bc9',b'4ce2b6e73c109',b'4ce2b6b995895',b'4ce2b803e5b2f',b'4ce2b7338af44',b'4ce2b6b185765',b'4ce2b6e31e32e',b'4ce2b6b5b6382',b'4ce2b872dd8ff',b'4ce2b83f86eb2',"b'I left out the Kubricks and the Renoirs, the Scorseses and the Antonionis, the Godards and the Bergmans, the Vardas, the Rosis and the Rochas, the Rossellinis and the Fellinis, the Wilders and the Langs, the Murnaus and the Herzogs, the Fassbinders, the Coppolas and the Powell/Pressburgers, the Klimovs, the Kiarostamis, the Kieslowskis, the Tarkovskijs and the\xe2\x80\xa6 \xe2\x80\x93 could go on for a long time. I\xe2\x80\x99ve just kept the ten films that I\xe2\x80\x99ve seen time and again, in which I\xe2\x80\x99ve constantly discovered new layers of meaning and beauty. I\xe2\x80\x99m sure that by tomorrow there\xe2\x80\x99ll be a new list of ten. As of matter of fact there already is.'"
b'444',b'Kaleem Aftab',b'critic',b'UK',b'Male',b'4ce2b6a48ca02',b'4ce2b6f6c85c4',b'4ce2b794e6dfb',b'4ce2b6a90d39d',b'1000',b'4ce2b6c39c104',b'4ce2b75403504',b'4ce2b6b39fc24',b'4ce2b6bf2249d',b'4ce2b6b774f0f',"b'In the end I\xe2\x80\x99ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.\nI can\xe2\x80\x99t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band \xc3\xa0 part I was finally proved right. It\xe2\x80\x99s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.\nI\xe2\x80\x99ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison\xe2\x80\x99s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.\nDo The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I\xe2\x80\x99ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.\nIt\xe2\x80\x99s only one moment in Oliver Hirschbiegel\xe2\x80\x99s Downfall, yet Bruno Ganz\xe2\x80\x99s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs \xe2\x80\x93 it\xe2\x80\x99s the gift that won\xe2\x80\x99t stop giving. My favourite iteration is Plankhead\xe2\x80\x99s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke \xe2\x80\x93 mistranslations have been a staple of comedians for years \xe2\x80\x93 but it doesn\xe2\x80\x99t stop the original internet mash-up from being funny and is probably the single scene I\xe2\x80\x99ve watched the most in the last decade. For that alone it makes the list.\nThere are so many reasons I love La dolce vita that I don\xe2\x80\x99t know where to start \xe2\x80\x93 my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.\nPakeezah was the one film in my parents\xe2\x80\x99 catalogue of Indian films that I would watch happily time and time again as a youngster. I didn\xe2\x80\x99t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any \xe2\x80\x98best of\xe2\x80\x99 lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing \xe2\x80\x98Chalo Dildar Chalo\xe2\x80\x99 I\xe2\x80\x99m investing in the dreams of a prostitute.\nIt was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It\xe2\x80\x99s simply too hard to choose between them on anything but irrational grounds.\nFilms and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clich\xc3\xa9s that usually make sporting movies a bore. It tells the story of two brothers who don\xe2\x80\x99t know whether to love each other or hit each other \xe2\x80\x93 De Niro and Pesci at their electrifying best.\nSomeone once said to me that it\xe2\x80\x99s odd if Sweet Smell of Success makes you want to be a journalist \xe2\x80\x93 if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world\xe2\x80\x99s most underrated directors. \nThe Outsiders is not even Francis Ford Coppola\xe2\x80\x99s best film, yet it\xe2\x80\x99s the movie I\xe2\x80\x99ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.\nIn the end I\xe2\x80\x99ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.\nI can\xe2\x80\x99t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band \xc3\xa0 part I was finally proved right. It\xe2\x80\x99s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.\nI\xe2\x80\x99ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison\xe2\x80\x99s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.\nDo The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I\xe2\x80\x99ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.\nIt\xe2\x80\x99s only one moment in Oliver Hirschbiegel\xe2\x80\x99s Downfall, yet Bruno Ganz\xe2\x80\x99s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs \xe2\x80\x93 it\xe2\x80\x99s the gift that won\xe2\x80\x99t stop giving. My favourite iteration is Plankhead\xe2\x80\x99s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke \xe2\x80\x93 mistranslations have been a staple of comedians for years \xe2\x80\x93 but it doesn\xe2\x80\x99t stop the original internet mash-up from being funny and is probably the single scene I\xe2\x80\x99ve watched the most in the last decade. For that alone it makes the list.\nThere are so many reasons I love La dolce vita that I don\xe2\x80\x99t know where to start \xe2\x80\x93 my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.\nPakeezah was the one film in my parents\xe2\x80\x99 catalogue of Indian films that I would watch happily time and time again as a youngster. I didn\xe2\x80\x99t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any \xe2\x80\x98best of\xe2\x80\x99 lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing \xe2\x80\x98Chalo Dildar Chalo\xe2\x80\x99 I\xe2\x80\x99m investing in the dreams of a prostitute.\nIt was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It\xe2\x80\x99s simply too hard to choose between them on anything but irrational grounds.\nFilms and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clich\xc3\xa9s that usually make sporting movies a bore. It tells the story of two brothers who don\xe2\x80\x99t know whether to love each other or hit each other \xe2\x80\x93 De Niro and Pesci at their electrifying best.\nSomeone once said to me that it\xe2\x80\x99s odd if Sweet Smell of Success makes you want to be a journalist \xe2\x80\x93 if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world\xe2\x80\x99s most underrated directors. \nThe Outsiders is not even Francis Ford Coppola\xe2\x80\x99s best film, yet it\xe2\x80\x99s the movie I\xe2\x80\x99ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.\n\nIn the end I\xe2\x80\x99ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.\nI can\xe2\x80\x99t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band \xc3\xa0 part I was finally proved right. It\xe2\x80\x99s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.\nI\xe2\x80\x99ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison\xe2\x80\x99s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.\nDo The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I\xe2\x80\x99ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.\nIt\xe2\x80\x99s only one moment in Oliver Hirschbiegel\xe2\x80\x99s Downfall, yet Bruno Ganz\xe2\x80\x99s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs \xe2\x80\x93 it\xe2\x80\x99s the gift that won\xe2\x80\x99t stop giving. My favourite iteration is Plankhead\xe2\x80\x99s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke \xe2\x80\x93 mistranslations have been a staple of comedians for years \xe2\x80\x93 but it doesn\xe2\x80\x99t stop the original internet mash-up from being funny and is probably the single scene I\xe2\x80\x99ve watched the most in the last decade. For that alone it makes the list.\nThere are so many reasons I love La dolce vita that I don\xe2\x80\x99t know where to start \xe2\x80\x93 my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.\nPakeezah was the one film in my parents\xe2\x80\x99 catalogue of Indian films that I would watch happily time and time again as a youngster. I didn\xe2\x80\x99t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any \xe2\x80\x98best of\xe2\x80\x99 lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing \xe2\x80\x98Chalo Dildar Chalo\xe2\x80\x99 I\xe2\x80\x99m investing in the dreams of a prostitute.\nIt was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It\xe2\x80\x99s simply too hard to choose between them on anything but irrational grounds.\nFilms and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clich\xc3\xa9s that usually make sporting movies a bore. It tells the story of two brothers who don\xe2\x80\x99t know whether to love each other or hit each other \xe2\x80\x93 De Niro and Pesci at their electrifying best.\nSomeone once said to me that it\xe2\x80\x99s odd if Sweet Smell of Success makes you want to be a journalist \xe2\x80\x93 if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world\xe2\x80\x99s most underrated directors. \nThe Outsiders is not even Francis Ford Coppola\xe2\x80\x99s best film, yet it\xe2\x80\x99s the movie I\xe2\x80\x99ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.'"
b'855',b'Alejandro Agresti',b'Director',b'Argentina',b'Male',b'4ce2b6c010eb7',b'4ce2b6c04cde4',b'4ce2b6bf4befa',b'4ce2b6a7a801b',b'4ce2b6a7bab4b',b'4ce2b7234f9b8',b'4ce2b6ae48730',b'4ce2b6adaff92',b'4ce2b6b416034',b'4ce2b6b92a9f0',"b'The Best Years of our Life explores all the possibilities of film narrative with a compelling emotional result. Hannah and her Sisters effortlessly contributed to the advancement of film language and character construction.Cluny Brown is the real ancestor of all Bu\xc3\xb1uel\xe2\x80\x99s good movies.Twelve O\xe2\x80\x99Clock High shows the real horror of war, almost all of it indoors.And The Apartment: \xe2\x80\x98I don\xc2\xb4t know what I want but I know how to get it, till I know what I want and then it gets me\xe2\x80\x99.'"
b'1115',b'Pedro Aguilera',b'Director',b'Spain',b'Male',b'4ce2b69a3415f',b'4ce2b6eadf87b',b'4ce2b6a59d655',b'4ce2b6a7b69f6',b'4ce2b79c26d23',b'4ce2b6bb90873',b'4ce2b6b0d7f12',b'4ce2b6bedc2bb',b'4ce2b6b46ab2d',b'4ce2b6b4ead96',"b'It\xc2\xb4s impossible to state the best ten films in history because there are, of course, much more than that number. These are ten films that really impressed me at some point in my life. Many more movies affected me deeply but these come quickly to mind.'"
b'886',b'Ashim Ahluwalia',b'Director',b'India',b'Male',b'4ce2b6b36514c',b'4ce2b735ec7cc',b'4ce2b7a39630e',b'4ce2b6ae3a9a9',b'4ce2b7757d932',b'4ce2b6bb90873',b'4ce2b6abe18b0',b'4ce2b6ade691d',b'4ce2b6d46b377',b'4ce2b7691925a',"b'In an ideal universe, I\xe2\x80\x99d love the films that changed my life to be the Top 10 films of all time. This is sort of what that list could look like.Nanami: Inferno of First Love delivers emerging adolescent sexuality and lyrical debauchery as only the Japanese New Wave can. Do not accept imitations!End of Summer is a poignant, near-perfect film about endings, made a year before Ozu died.Mirror offers epic hypnotherapy and some of the most beautiful celluloid ever shot.Why can\xe2\x80\x99t all film noir be like Pale Flower?Subnarekha is one of the most intuitive, messy and haunting films ever made with the best drunk taxi ride in the history of cinema.Pratidwandi sees Ray drop his early style for a gritty hand-held Godardian romp through \xe2\x80\x9970s Calcutta. Incredible.A re-enactment of a re-enactment of a re-enactment, Close Up essentially destroys the very conception of a \xe2\x80\x98documentary\xe2\x80\x99 and yet is one of the best ever made.Along with Bu\xc3\xb1uel\xe2\x80\x99s Las Hurdes, Unsere Afrikareise is an understanding of all documentary as a form of colonisation. Essential.G. Aravindan \xe2\x80\x93 the most interesting Indian filmmaker ever. Sadly none of his work is in distribution.Fassbinder\xe2\x80\x99s opiated take on Sunset Blvd, Veronika Voss makes Billy Wilder\xe2\x80\x99s movie look like a children\xe2\x80\x99s special. Voss\xe2\x80\x99s drug overdose/suicide eerily foreshadows Fassbinder\xe2\x80\x99s own later that same year infusing deep tragedy and new meaning to the term \xe2\x80\x98a film about film\xe2\x80\x99.'"
b'704',b'Daisuke Akasaka',b'Critic',b'Japan',b'Male',b'4ce2b732a9e56',b'4ce2b6e73c109',b'4ce2b6a785eda',b'1001',b'4ce2b74c919fc',b'4ce2b6beccfbf',b'4ce2b79803e0f',b'4ce2b76fc1c8d',b'4ce2b6b727a8b',b'4ce2b7999fb6e',"b'I had to exclude too many films: Hollywood B movies, Renoir, Dreyer, Bu\xc3\xb1uel, Murnau, Bresson, Rossellini, Warhol, Barnet, Dovzhenko, Ozu, Seijun Suzuki, Tai Kato, Naruse, Makino, Masumura, Nakagawa, Yamatoya, Tati, Robbe-Grillet, Carmelo Bene, Rocha, Ruiz, Kiarostami, nikkatsu roman porno movies, great documentaries (Nestler, Bitomsky, Farocki, Keuken, Wiseman)\xe2\x80\xa6 and D\xc3\xa9jeuner du chat (Louis Lumi\xc3\xa8re 1895).'"
